obs	hh_code	round	year	state	age	edu	off_incUS	hhexpend_pc	hhsize_ae	area_ha	cotarea_ha	bt	bt_ha	kcal_tot	kcal_nutr
37	11	1	2002	1	41	12	0	334.8731	5.8	10.5222	2.67102	1	0.52611	4659	708.6272
38	11	2	2004	1	43	12	0	292.8604	5	3.6423	2.0235	1	1.6188	2629	464.4841
39	11	3	2006	1	47	12	0	323.1071	5.9	3.2376	1.6188	1	1.6188	3409	672.9116
40	12	1	2002	1	47	15	552.6389	920.7427	3.6	20.235	1.2141	1	1.2141	3580	417.7701
41	12	2	2004	1	49	15	921.0648	1802.122	5.2	12.141	3.2376	1	4.047	3765	1401.086
42	12	3	2006	1	51	15	552.6389	1663.481	3.3	16.188	4.047	1	4.047	3235	347.4459
43	12	4	2008	1	53	15	0	781.9704	4.4	4.8564	2.0235	1	2.0235	2324	845.5732
44	13	1	2002	1	36	10	0	223.4551	4.3	1.6188	0.8094	1	0.4047	4661	628.8885
45	13	2	2004	1	38	10	460.5324	493.8791	4.4	1.6188	1.2141	1	0.4047	2743	356.9429
46	13	3	2006	1	40	10	0	354.801	4.1	2.0235	1.2141	1	1.2141	2770	545.8897
47	13	4	2008	1	42	10	276.3194	583.3709	2.5	1.6188	1.2141	1	1.2141	3120	840.7157
48	14	1	2002	1	50	0	1547.389	123.9245	4	1.2141	0.60705	0	0	2951	278.4496
49	14	2	2004	1	52	0	2763.194	155.5859	5.4	2.0235	0.4047	1	0.4047	3117	422.4537
50	14	3	2006	1	54	0	709.2198	132.8199	6.4	2.0235	0.4047	1	0.4047	2663	225.9909
51	14	4	2008	1	56	0	33.15833	84.67034	6	1.6188	0.60705	1	0.60705	1646	166.9197
52	15	1	2002	1	50	7	0	423.7177	4	6.0705	1.82115	0	0	3070	593.7509
53	15	2	2004	1	52	7	2210.555	446.9486	3.8	3.2376	1.6188	1	1.6188	2910	589.9684
54	16	1	2002	1	70	4	663.1666	279.669	11.4	4.8564	0.20235	0	0	3287	264.9603
55	16	2	2004	1	72	4	0	200.7503	1.8	0.4047	0.20235	0	0	3087	409.035
56	16	3	2006	1	74	4	128.9491	151.6828	2.3	0.8094	0.303525	1	0.303525	3357	282.3524
57	16	4	2008	1	76	4	265.2667	259.4886	1.6	0.8094	0.4047	1	0.4047	2779	335.2701
58	17	1	2002	1	23	15	0	401.4772	2.8	6.0705	2.8329	0	0	2559	187.2006
59	17	2	2004	1	25	15	0	1003.35	2.8	4.8564	2.0235	1	1.6188	4169	1279.27
60	17	3	2006	1	27	15	0	424.376	5.1	7.2846	2.0235	1	2.0235	2455	418.0751
61	17	4	2008	1	29	15	0	408.2427	4	4.047	2.0235	1	2.0235	3610	658.6608
62	18	1	2002	1	30	10	6631.666	126.549	3.6	1.2141	0.4047	0	0	2877	1051.89
63	18	2	2004	1	32	10	921.0648	188.8889	4.4	1.2141	0.4047	1	0.4047	3153	760.9465
64	18	3	2006	1	34	10	921.0648	248.6658	4.5	0.4047	0.4047	1	0.4047	3629	909.1193
65	18	4	2008	1	36	10	27.63194	134.8208	5	0.8094	0.4047	1	0.4047	1722	276.8568
66	19	1	2002	1	22	16	21221.33	459.501	3.9	1.2141	1.01175	1	0.60705	4084	682.3315
67	19	2	2004	1	24	16	1105.278	960.2417	5.4	1.2141	1.01175	1	0.4047	2978	705.426
68	19	3	2006	1	26	16	921.0648	329.0083	5.8	2.0235	1.01175	1	1.01175	3755	490.247
69	19	4	2008	1	28	16	1768.444	414.1188	4	1.82115	1.2141	1	1.2141	4008	652.4918
70	20	1	2002	1	25	11	0	303.57	3.6	3.03525	1.2141	1	0.60705	4181	1476.355
71	20	2	2004	1	27	11	0	234.1822	4.6	2.8329	2.8329	0	0	3159	614.5212
72	20	4	2008	1	31	11	0	672.6665	2.8	2.8329	2.8329	1	2.8329	3226	510.5073
73	21	1	2002	1	32	10	221.0555	164.7599	8	28.329	4.4517	0	0	2716	517.1315
74	21	2	2004	1	34	10	0	312.8695	7.5	30.3525	6.4752	0	0	3540	872.0659
75	21	3	2006	1	36	10	0	467.776	5.2	28.329	12.141	1	12.141	3551	645.6617
76	21	4	2008	1	38	10	736.8518	590.3735	4.8	8.094	2.8329	1	2.8329	3269	1071.751
77	22	1	2002	1	50	10	276.3194	359.048	2.5	4.047	4.047	1	0.8094	3811	760.6187
78	22	2	2004	1	52	10	442.1111	266.0755	2.5	4.047	2.8329	0	0	3842	845.5928
79	22	3	2006	1	54	10	1842.13	872.1086	2.6	4.047	3.2376	1	3.2376	3379	398.6263
80	22	4	2008	1	56	10	46.05324	734.2692	2.4	4.047	3.2376	1	3.2376	4037	886.8633
81	23	1	2002	1	22	10	0	135.9356	6.6	8.094	2.8329	0	0	3026	465.9055
82	23	2	2004	1	24	10	0	147.8854	8.5	7.2846	5.2611	1	0.8094	3675	422.0829
83	23	3	2006	1	26	10	3094.778	468.4687	9.3	6.0705	3.2376	1	3.2376	3522	515.3682
84	23	4	2008	1	28	10	2726.352	437.9945	7.9	8.9034	6.0705	1	6.0705	3030	673.4393
85	24	1	2002	1	70	7	0	129.9672	4.9	1.82115	0.8094	0	0	3321	517.4642
86	24	2	2004	1	72	7	276.3194	673.8699	4.5	3.2376	1.6188	1	0.4047	3927	975.3521
87	24	3	2006	1	74	7	460.5324	175.669	6.2	1.6188	1.2141	1	1.2141	1731	212.8633
88	24	4	2008	1	76	7	736.8518	265.0623	5.2	1.01175	1.01175	1	1.01175	1938	584.3647
89	25	1	2002	1	55	10	0	299.9261	4.6	5.6658	0.60705	0	0	3323	784.7546
90	25	2	2004	1	57	10	0	548.2492	5.4	6.4752	2.4282	1	0.4047	4621	605.092
91	25	3	2006	1	59	10	414.4791	140.0495	6.2	5.2611	1.2141	1	1.2141	4577	338.5955
92	25	4	2008	1	61	10	0	168.0672	8	4.8564	2.0235	1	2.0235	4108	275.6638
93	26	1	2002	1	37	17	884.2222	281.9638	5.5	8.094	1.82115	0	0	3031	533.6091
94	26	2	2004	1	39	17	368.4259	231.3259	5.5	8.9034	2.4282	1	1.6188	4617	401.7265
95	26	3	2006	1	41	17	1547.389	513.6646	4.6	8.094	1.6188	1	1.6188	2484	588.5679
96	26	4	2008	1	43	17	2763.194	1635.523	3.2	8.094	3.2376	1	3.2376	4476	689.6288
97	27	1	2002	1	50	0	0	387.3615	2.8	1.6188	0.4047	0	0	3162	344.4749
98	27	2	2004	1	52	0	110.5278	301.8039	2.6	1.517625	1.2141	1	0.4047	4050	661.539
99	27	3	2006	1	54	0	221.0555	165.0011	7.9	1.517625	1.2141	1	1.2141	3206	377.1163
100	27	4	2008	1	56	0	0	245.7057	4	1.6188	0.8094	1	0.8094	3627	584.6075
101	28	1	2002	1	32	9	0	166.2372	3.5	2.0235	1.6188	0	0	2984	438.4136
102	28	2	2004	1	34	9	0	168.2947	3.8	3.2376	1.6188	1	0.8094	3801	692.3235
103	28	3	2006	1	36	9	0	254.9629	3.8	3.2376	1.2141	1	1.2141	3834	634.254
104	28	4	2008	1	38	9	0	336.5684	5.8	4.047	1.6188	1	1.6188	3732	618.8131
105	29	1	2002	1	60	12	460.5324	314.4522	4.6	3.2376	1.2141	1	0.8094	3054	355.7473
106	29	2	2004	1	62	12	460.5324	546.6666	4.6	4.8564	2.4282	1	2.0235	3111	401.9961
107	29	3	2006	1	64	12	460.5324	574.5446	5.4	6.0705	1.2141	1	1.2141	4288	429.3907
108	29	4	2008	1	66	12	736.8518	309.8744	6.4	5.05875	2.8329	1	2.8329	3444	664.944
109	30	1	2002	1	50	4	147.3704	99.58966	4.7	2.0235	1.2141	0	0	3529	231.9121
110	30	2	2004	1	52	4	55.26389	104.2753	5.6	1.6188	1.2141	1	0.8094	3447	127.401
111	30	3	2006	1	54	4	0	85.15104	4.7	1.6188	0.60705	1	0.60705	3681	112.5813
112	30	4	2008	1	56	4	552.6389	174.6637	4.9	1.6188	0.8094	1	0.8094	4531	174.8714
113	31	1	2002	1	40	0	257.8981	164.3551	7.1	6.8799	1.2141	0	0	4017	570.6443
114	31	2	2004	1	42	0	0	242.2212	7.6	7.6893	2.4282	1	1.2141	4144	293.87
115	31	3	2006	1	44	0	0	129.34	7	5.2611	1.2141	1	1.2141	4281	104.16
116	31	4	2008	1	46	0	0	522.7595	7.1	4.8564	2.0235	1	2.0235	2100	425.0949
117	32	1	2002	1	32	17	169.4759	186.8445	2	1.2141	0.60705	1	0.60705	3165	443.4607
118	32	2	2004	1	34	17	1013.171	247.0941	3	1.2141	0.8094	1	0.4047	3783	1049.76
119	32	3	2006	1	36	17	2763.194	450.326	2.6	1.2141	1.2141	1	1.2141	3486	690.7318
120	32	4	2008	1	38	17	2394.768	548.0822	2.9	1.2141	0.60705	1	0.60705	3144	594.1539
121	33	1	2002	1	51	10	921.0648	250.409	6.6	14.1645	1.6188	1	1.6188	2777	676.7809
122	33	2	2004	1	53	10	1473.704	203.2742	6.2	10.1175	4.047	1	1.2141	2872	442.5669
123	33	3	2006	1	55	10	3684.259	756.6539	7.1	10.1175	2.4282	1	2.4282	3284	500.0204
124	33	4	2008	1	57	10	2505.296	783.0283	10	12.141	2.8329	1	2.8329	2741	401.0183
125	34	1	2002	1	45	10	0	188.1001	3.5	4.047	1.6188	1	0.60705	3935	504.2025
126	34	2	2004	1	47	10	0	475.8375	2.8	4.047	1.41645	1	0.8094	3376	949.0219
127	34	3	2006	1	49	10	0	421.8574	2.6	3.2376	1.6188	1	1.6188	3288	509.1817
128	34	4	2008	1	51	10	0	415.0414	4	3.03525	1.2141	1	1.2141	3655	767.6191
129	35	1	2002	1	35	10	0	269.1013	7.4	5.6658	1.6188	0	0	3596	800.0144
130	35	2	2004	1	37	10	0	199.7044	9.1	5.6658	2.8329	1	0.8094	2436	426.4025
131	35	3	2006	1	39	10	0	177.8637	8.1	1.6188	1.6188	1	1.6188	3169	111.3566
132	35	4	2008	1	41	10	0	374.189	4.7	4.047	1.6188	1	1.6188	2195	451.4575
133	36	1	2002	1	55	5	530.5333	365.2031	5.4	5.2611	2.0235	0	0	3570	898.3322
134	36	2	2004	1	57	5	405.2685	127.0451	5.9	3.2376	1.2141	0	0	2216	113.1425
135	36	3	2006	1	59	5	0	215.3542	7.4	4.047	0.8094	1	0.8094	3172	477.4929
136	36	4	2008	1	61	5	0	224.7347	7.1	4.8564	2.4282	1	2.4282	3112	443.3625
137	37	1	2002	1	43	10	0	185.8491	6	2.4282	1.2141	1	0.4047	3168	391.205
138	37	2	2004	1	45	10	0	523.1832	4.2	18.2115	12.141	1	8.094	3096	574.4424
139	37	3	2006	1	47	10	0	557.5744	4.9	19.4256	12.141	1	12.141	3091	726.2582
140	38	1	2002	1	20	16	663.1666	128.6418	6	13.15275	6.0705	0	0	2863	399.5347
141	38	2	2004	1	22	16	0	283.8238	5.8	10.1175	5.6658	1	0.8094	3217	469.5837
142	38	3	2006	1	24	16	0	209.2946	7.1	14.1645	5.6658	1	5.6658	2632	425.2374
143	38	4	2008	1	26	16	2578.981	258.3455	9.6	3.03525	2.4282	1	2.4282	4266	456.9387
144	39	1	2002	1	28	15	254.2139	136.534	7.5	10.1175	4.8564	0	0	2068	260.8612
145	39	2	2004	1	30	15	2800.037	254.9795	8.1	10.1175	4.8564	1	0.8094	3364	416.2455
146	39	3	2006	1	32	15	0	412.5628	4.4	6.4752	6.4752	1	6.4752	4537	749.735
147	39	4	2008	1	34	15	2947.407	350.6042	9.5	10.1175	7.6893	1	7.6893	4168	456.7757
148	40	1	2002	1	55	9	368.4259	129.5582	6.8	1.6188	1.6188	0	0	3488	551.4751
149	40	2	2004	1	57	9	1363.176	176.1664	7.4	1.41645	1.41645	0	0	2778	244.09
150	40	3	2006	1	59	9	552.6389	355.2957	6.3	1.6188	0.8094	1	0.8094	1872	295.7789
151	40	4	2008	1	61	9	368.4259	356.3801	8.7	1.2141	3.6423	1	3.6423	2159	395.6286
152	41	1	2002	1	25	12	0	140.7879	5.4	2.22585	1.01175	0	0	2777	409.7037
153	41	2	2004	1	27	12	368.4259	191.5719	5	2.22585	1.2141	1	0.8094	2683	278.6049
154	41	3	2006	1	29	12	221.0555	208.2046	5.8	2.22585	1.6188	1	1.6188	4224	295.5499
155	41	4	2008	1	31	12	2652.667	242.2349	6.6	2.22585	0.60705	1	0.60705	2770	336.8645
156	42	1	2002	1	19	9	736.8518	206.7091	7.2	7.08225	2.0235	0	0	3905	2015.674
157	42	2	2004	1	21	9	663.1666	881.7758	3.4	3.03525	2.0235	1	0.4047	4090	1681.976
158	42	3	2006	1	23	9	331.5833	206.3638	9.5	2.8329	1.6188	1	1.6188	3280	387.4343
159	42	4	2008	1	25	9	0	307.9468	10.5	2.8329	2.0235	1	2.0235	3566	441.8304
160	43	1	2002	1	43	16	1105.278	337.1241	10	14.1645	6.0705	0	0	2577	560.4757
161	43	2	2004	1	45	16	552.6389	144.0503	4.8	6.0705	2.4282	1	0.8094	3377	1414.502
162	43	3	2006	1	47	16	0	331.2615	4.1	5.6658	1.6188	1	1.6188	3483	589.1633
163	43	4	2008	1	49	16	0	844.5851	3.4	8.094	2.8329	1	2.8329	3055	915.5962
164	44	1	2002	1	24	17	921.0648	284.9815	5	8.094	1.6188	1	0.4047	3478	657.6091
165	44	2	2004	1	26	17	644.7453	101.0402	6.1	4.047	4.047	1	1.2141	4394	363.7469
166	44	3	2006	1	28	17	1565.81	544.6443	5	4.4517	2.0235	1	2.0235	2865	654.3487
167	44	4	2008	1	30	17	5526.389	1480.666	5.8	6.0705	4.047	1	4.047	4397	932.584
168	45	1	2002	1	38	10	460.5324	288.0591	4.3	8.094	3.2376	1	0.4047	3413	496.6462
169	45	2	2004	1	40	10	1289.491	606.2794	5.3	14.1645	8.094	1	3.2376	3325	725.3484
170	45	3	2006	1	42	10	552.6389	726.863	4.2	8.094	2.8329	1	2.8329	4212	631.4895
171	45	4	2008	1	44	10	921.0648	497.7975	5	11.3316	6.0705	1	6.0705	2591	530.2883
172	46	1	2002	1	68	10	0	158.1335	8.2	1.6188	0.4047	1	0.4047	3219	262.1399
173	46	2	2004	1	70	10	552.6389	214.2337	5.2	8.9034	6.4752	1	2.0235	3020	644.0822
174	46	3	2006	1	72	10	0	813.1505	10.2	18.2115	3.2376	1	3.2376	4295	1045.161
175	46	4	2008	1	74	10	0	621.9604	1.8	3.2376	0.8094	1	0.8094	4213	1531.072
176	47	1	2002	1	45	17	0	243.4346	3.4	2.0235	1.2141	0	0	3160	612.8273
177	47	3	2006	1	49	17	1547.389	487.9199	4.4	1.6188	1.2141	1	1.2141	3367	337.808
178	47	4	2008	1	51	17	2026.342	588.2377	4.2	2.0235	1.2141	1	1.2141	2974	537.622
179	48	1	2002	1	45	8	294.7407	199.234	9.5	1.2141	0.8094	0	0	2359	647.8131
180	48	2	2004	1	47	8	221.0555	167.3772	10.2	3.6423	0.8094	1	0.8094	2996	360.739
181	48	3	2006	1	49	8	110.5278	394.0994	4.4	4.8564	1.2141	1	1.2141	4141	249.3018
182	48	4	2008	1	51	8	0	366.909	4.7	1.41645	3.2376	1	3.2376	3311	368.9753
183	49	1	2002	1	65	0	184.213	188.5925	3.5	0.8094	0.4047	0	0	2320	332.5311
184	49	2	2004	1	67	0	0	198.5107	3.8	7.2846	5.2611	1	2.0235	4568	2645.247
185	49	3	2006	1	69	0	0	451.5404	4.6	2.0235	1.2141	1	1.2141	3876	335.2433
186	49	4	2008	1	71	0	0	587.8057	5.8	2.0235	4.047	1	4.047	3884	496.6872
187	50	1	2002	1	22	15	0	284.2429	3.6	2.0235	2.0235	0	0	3916	1301.705
188	50	2	2004	1	24	15	0	316.3529	4.6	3.03525	2.4282	1	0.4047	3749	1556.849
189	50	3	2006	1	26	15	331.5833	222.2847	3.4	2.4282	1.2141	1	1.2141	4267	148.5559
190	50	4	2008	1	28	15	442.1111	215.1366	4.3	2.4282	1.6188	1	1.6188	2346	361.2683
191	51	1	2002	1	23	12	368.4259	363.5618	2.6	2.8329	1.6188	0	0	3331	1188.078
192	51	2	2004	1	25	12	442.1111	313.5289	3.4	3.2376	2.4282	1	0.4047	3727	439.1841
193	51	3	2006	1	27	12	1215.805	297.5849	4.2	2.8329	0.4047	1	0.4047	3175	390.5862
194	51	4	2008	1	29	12	2210.555	262.3715	4.8	2.8329	2.0235	1	2.0235	2987	572.2297
195	52	1	2002	1	58	10	921.0648	284.2183	4.2	2.0235	0.4047	0	0	2192	558.8895
196	52	2	2004	1	60	10	884.2222	893.1202	6.1	4.8564	1.6188	1	0.8094	2768	500.7025
197	52	3	2006	1	62	10	828.9583	366.5842	3.8	5.2611	1.01175	1	1.01175	4531	283.0512
198	52	4	2008	1	64	10	1547.389	370.8532	4.4	3.6423	1.6188	1	1.6188	2573	394.2296
199	53	1	2002	1	42	15	442.1111	87.70346	7.1	3.6423	2.4282	0	0	2899	285.8745
200	53	2	2004	1	44	15	552.6389	179.7787	4.9	0	1.6188	1	0.8094	2647	372.4171
201	53	3	2006	1	46	15	921.0648	442.7074	4.1	1.41645	1.2141	1	1.2141	3005	486.1153
202	53	4	2008	1	48	15	921.0648	300.727	4	2.0235	2.0235	1	2.0235	2353	306.5311
203	54	1	2002	1	40	0	0	296.6762	3.3	2.8329	1.6188	0	0	3166	877.6861
204	54	2	2004	1	42	0	294.7407	102.0691	4.4	2.8329	2.4282	0	0	2870	232.1806
205	54	3	2006	1	44	0	257.8981	118.6568	3.9	0.8094	2.0235	1	2.0235	2566	497.8049
206	54	4	2008	1	46	0	644.7453	166.4792	4.3	0.8094	2.4282	1	2.4282	2910	731.0275
207	55	1	2002	1	59	7	92.10648	131.5278	7.3	5.6658	1.41645	0	0	2956	199.1052
208	55	2	2004	1	61	7	368.4259	584.6635	5.6	8.094	6.0705	1	4.047	3838	357.7881
209	55	3	2006	1	63	7	552.6389	203.0852	4	1.41645	1.2141	1	1.2141	2573	364.7715
210	55	4	2008	1	65	7	221.0555	344.728	9.5	3.03525	2.63055	1	2.63055	3339	480.406
211	56	1	2002	1	33	10	0	175.5437	6.3	18.2115	8.4987	0	0	2607	438.9639
212	56	2	2004	1	35	10	0	366.6326	6.2	14.1645	8.9034	1	8.094	2808	410.8836
213	56	3	2006	1	37	10	736.8518	276.7784	4.9	14.1645	8.094	1	8.094	2060	603.7515
214	57	1	2002	1	52	9	46.05324	207.1194	3.4	1.74021	0.8094	0	0	3871	440.2271
215	57	2	2004	1	54	9	1289.491	276.7985	4.2	1.82115	1.2141	1	0.8094	2593	425.0201
216	57	3	2006	1	56	9	0	197.2926	4.4	1.922325	1.2141	1	1.2141	2990	304.4538
217	57	4	2008	1	58	9	1105.278	235.6122	5.2	2.0235	1.2141	1	1.2141	2169	346.046
218	58	1	2002	1	42	10	184.213	247.0485	6	5.46345	2.4282	1	1.6188	4188	1323.091
219	58	2	2004	1	44	10	921.0648	972.4966	4.4	8.094	6.0705	1	3.6423	3723	794.4633
220	58	3	2006	1	46	10	736.8518	786.7101	3.4	4.047	4.047	1	4.047	3865	1435.681
221	58	4	2008	1	48	10	1473.704	918.0079	2.4	8.094	6.0705	1	6.0705	3373	752.6675
222	59	1	2002	1	30	4	73.68518	259.4994	4	1.6188	0.60705	0	0	3606	899.693
223	59	2	2004	1	32	4	994.7499	163.0438	6.8	1.517625	1.517625	1	0.4047	2706	510.2245
224	59	3	2006	1	34	4	921.0648	154.377	5.2	1.82115	1.2141	1	1.2141	3487	583.9396
225	59	4	2008	1	36	4	663.1666	190.352	5.6	1.2141	1.2141	1	1.2141	3685	736.2771
226	60	1	2002	1	42	10	0	226.0156	7.7	4.4517	1.01175	1	1.01175	2969	365.6494
227	60	2	2004	1	44	10	3168.463	342.7012	3.9	7.08225	7.08225	1	3.2376	3160	1085.847
228	60	3	2006	1	46	10	184.213	394.4232	4.1	3.2376	2.4282	1	2.4282	2748	425.5022
229	60	4	2008	1	48	10	1105.278	289.0349	4.1	3.03525	3.2376	1	3.2376	2118	503.5422
230	61	1	2002	1	31	15	1455.282	293.12	11.8	2.0235	1.6188	1	0.4047	3630	625.7908
231	61	2	2004	1	33	15	2210.555	276.0735	5	12.141	6.0705	1	3.6423	4025	307.7644
232	61	3	2006	1	35	15	1105.278	418.4094	4.3	2.4282	1.6188	1	1.6188	3750	242.1138
233	61	4	2008	1	37	15	3684.259	434.2141	3.6	2.0235	2.0235	1	2.0235	4191	666.5233
234	62	1	2002	1	29	17	73.68518	508.0181	11	16.188	1.6188	1	1.2141	3338	855.3644
235	62	2	2004	1	31	17	0	1030.503	13.5	16.188	8.9034	1	4.8564	3269	850.9374
236	62	3	2006	1	33	17	0	677.2356	4.9	5.6658	4.4517	1	4.4517	4682	975.8411
237	62	4	2008	1	35	17	0	266.2121	8.6	10.1175	8.094	1	8.094	3631	694.9001
238	63	1	2002	1	43	15	0	413.1617	9	14.1645	4.8564	0	0	3325	655.4544
239	63	2	2004	1	45	15	0	470.4093	4.5	16.188	12.141	1	8.094	3650	826.7643
240	64	1	2002	1	30	7	0	240.0492	3.6	4.047	3.2376	0	0	3252	800.8058
241	64	2	2004	1	32	7	0	424.2231	2.6	2.8329	2.4282	1	2.0235	3284	962.6039
242	64	3	2006	1	34	7	0	404.0927	2.6	3.2376	2.8329	1	2.8329	3235	952.0292
243	64	4	2008	1	36	7	0	459.99	3	3.6423	3.6423	1	3.6423	3069	779.3839
244	65	1	2002	1	30	9	0	225.0718	5.4	2.4282	1.6188	0	0	3156	861.0677
245	65	2	2004	1	32	9	1013.171	295.1887	9.8	2.0235	1.6188	1	0.8094	3821	590.7439
246	65	3	2006	1	34	9	0	202.4222	5.7	2.0235	2.0235	1	2.0235	3111	409.9191
247	65	4	2008	1	36	9	921.0648	413.9483	3.7	2.0235	2.0235	1	2.0235	2820	565.6309
248	66	1	2002	1	60	0	0	76.07714	7.9	3.6423	2.4282	0	0	2210	125.3527
249	66	2	2004	1	62	0	1289.491	169.5362	8.2	4.4517	3.2376	1	0.4047	3820	272.0681
250	66	3	2006	1	64	0	0	167.1303	5.3	4.047	3.2376	1	3.2376	2927	440.2029
251	66	4	2008	1	66	0	0	264.1848	4.9	2.4282	2.0235	1	2.0235	3035	474.5562
252	67	1	2002	1	60	0	0	350.2503	4.5	12.141	5.2611	0	0	3346	660.6846
253	67	2	2004	1	62	0	0	362.0191	4.5	12.141	8.9034	1	2.0235	3095	636.9187
254	67	3	2006	1	64	0	0	593.9734	4.6	14.1645	9.7128	0	0	2791	94.83667
255	67	4	2008	1	66	0	0	469.7217	4	8.094	6.0705	1	6.0705	2375	551.346
256	68	1	2002	1	45	17	46.05324	177.6611	9.2	8.094	2.0235	0	0	3403	344.1234
257	68	2	2004	1	47	17	0	509.5589	4.4	7.6893	5.2611	1	0.8094	2660	612.4717
258	69	1	2002	1	29	12	0	278.4161	7.4	8.094	4.047	0	0	3524	594.0279
259	69	2	2004	1	31	12	0	311.628	8.2	8.9034	4.8564	1	1.6188	4236	1577.126
260	69	3	2006	1	33	12	0	282.1727	6.7	8.094	4.047	1	4.047	3221	379.8043
261	69	4	2008	1	35	12	0	2019.784	8.9	8.094	4.4517	1	4.4517	2492	406.8964
262	70	1	2002	1	45	11	0	297.4559	9.9	12.141	4.8564	1	0.8094	2710	336.712
263	70	2	2004	1	47	11	0	269.4588	4.6	11.3316	3.2376	1	3.2376	3184	500.0291
264	70	3	2006	1	49	11	0	261.4475	5.8	10.5222	4.8564	1	4.8564	3410	358.4704
265	70	4	2008	1	51	11	0	244.7042	5.8	6.0705	2.8329	1	2.8329	2172	392.3181
266	71	1	2002	1	30	15	1370.544	159.5404	5	14.1645	3.2376	1	1.2141	3452	382.1028
267	71	2	2004	1	32	15	2763.194	341.5189	4.5	14.1645	4.8564	1	2.4282	3481	435.5024
268	71	3	2006	1	34	15	1547.389	642.6805	3.2	14.1645	4.4517	1	4.4517	2900	541.9623
269	71	4	2008	1	36	15	1768.444	809.827	5.7	12.5457	2.0235	1	2.0235	2015	367.6416
